Year,Week,SKU,Category,Size,Total_Qty,Total_Amount,Avg_Price,Max_Price,Min_Price,Std_Price,Has_Promotion,Transaction_Count,Start_Date,End_Date,Week_ID,Date
2022,13,J0113-TP-S,Top,S,1,798.0,798.0,798.0,798.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0113-TP-XXL,Top,XXL,2,1500.0,750.0,750.0,750.0,0.0,0,2,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0117-TP-M,Top,M,3,1497.0,499.0,499.0,499.0,0.0,1,3,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0117-TP-S,Top,S,2,998.0,499.0,499.0,499.0,0.0,1,2,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0117-TP-XXL,Top,XXL,1,499.0,499.0,499.0,499.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0117-TP-XXXL,Top,3XL,1,499.0,499.0,499.0,499.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0118-TP-L,Top,L,3,1276.0,425.3333333333333,434.0,421.0,7.505553499465143,1,3,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0118-TP-M,Top,M,2,868.0,434.0,434.0,434.0,0.0,1,2,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0118-TP-S,Top,S,1,421.0,421.0,421.0,421.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0118-TP-XL,Top,XL,12,5052.0,421.0,421.0,421.0,0.0,1,12,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0118-TP-XXL,Top,XXL,5,2118.0,423.6,434.0,421.0,5.813776741499447,1,5,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0118-TP-XXXL,Top,3XL,7,3038.0,434.0,434.0,434.0,0.0,1,7,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0119-TP-L,Top,L,2,1500.0,750.0,750.0,750.0,0.0,1,2,2022-04-02,2022-04-03,2022-W13,2022-04-02
2022,13,J0119-TP-M,Top,M,2,1596.0,798.0,798.0,798.0,0.0,1,2,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0119-TP-XL,Top,XL,4,3096.0,774.0,798.0,750.0,27.712812921102035,1,4,2022-03-31,2022-04-03,2022-W13,2022-03-31
2022,13,J0119-TP-XS,Top,XS,1,750.0,750.0,750.0,750.0,0.0,1,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0119-TP-XXL,Top,XXL,1,750.0,750.0,750.0,750.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0119-TP-XXXL,Top,3XL,3,2250.0,750.0,750.0,750.0,0.0,1,3,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0120-TP-L,Top,L,1,365.0,365.0,365.0,365.0,0.0,0,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0122-TP-M,Top,M,3,990.0,330.0,330.0,330.0,0.0,1,3,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0122-TP-S,Top,S,1,330.0,330.0,330.0,330.0,0.0,0,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0122-TP-XL,Top,XL,3,990.0,330.0,330.0,330.0,0.0,1,3,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0122-TP-XS,Top,XS,1,330.0,330.0,330.0,330.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0122-TP-XXL,Top,XXL,4,1320.0,330.0,330.0,330.0,0.0,0,4,2022-04-01,2022-04-03,2022-W13,2022-04-01
